ID;Categoria;Linea;Evidencia;Hallazgo;Riesgo;Severidad;Recomendacion
A01;Validacion de datos;6;nombre = entrada_nombre.get();Se lee un campo del formulario y se usa sin verificar si esta vacio o si tiene el tipo esperado.;Se pueden almacenar registros incompletos o con datos sin sentido (nombre vacio, edad en letras) y el sistema igual informa exito.;Alta;Aplicar .strip() y rechazar la operacion cuando el campo quede vacio, mostrando un mensaje al usuario.
A02;Validacion de datos;7;documento = entrada_documento.get();Se lee un campo del formulario y se usa sin verificar si esta vacio o si tiene el tipo esperado.;Se pueden almacenar registros incompletos o con datos sin sentido (nombre vacio, edad en letras) y el sistema igual informa exito.;Alta;Aplicar .strip() y rechazar la operacion cuando el campo quede vacio, mostrando un mensaje al usuario.
A03;Validacion de datos;8;edad = entrada_edad.get();Se lee un campo del formulario y se usa sin verificar si esta vacio o si tiene el tipo esperado.;Se pueden almacenar registros incompletos o con datos sin sentido (nombre vacio, edad en letras) y el sistema igual informa exito.;Alta;Aplicar .strip() y rechazar la operacion cuando el campo quede vacio, mostrando un mensaje al usuario.
A04;Validacion de datos;9;programa = entrada_programa.get();Se lee un campo del formulario y se usa sin verificar si esta vacio o si tiene el tipo esperado.;Se pueden almacenar registros incompletos o con datos sin sentido (nombre vacio, edad en letras) y el sistema igual informa exito.;Alta;Aplicar .strip() y rechazar la operacion cuando el campo quede vacio, mostrando un mensaje al usuario.
A05;Integridad de los datos;18;estudiantes.append(estudiante);Se agrega el registro a la lista sin comprobar si el documento ya fue registrado antes.;Se generan registros duplicados con el mismo documento, lo que luego vuelve ambigua la eliminacion y los reportes.;Media;Antes de agregar, recorrer la lista y rechazar el documento si ya existe.
A06;Mantenibilidad;20;"mensaje.config(text=""Estudiante registrado correctamente"")";La funcion de logica modifica directamente un widget global de la interfaz grafica.;La regla de negocio queda amarrada a Tkinter: no se puede probar ni reutilizar sin abrir la ventana.;Media;"Separar la logica (registrar, eliminar, calcular) de la capa de presentacion; que las funciones retornen valores."
A07;Mantenibilidad;28;mensaje.config(text=resultado);La funcion de logica modifica directamente un widget global de la interfaz grafica.;La regla de negocio queda amarrada a Tkinter: no se puede probar ni reutilizar sin abrir la ventana.;Media;"Separar la logica (registrar, eliminar, calcular) de la capa de presentacion; que las funciones retornen valores."
A08;Validacion de datos;31;documento = entrada_documento.get();Se lee un campo del formulario y se usa sin verificar si esta vacio o si tiene el tipo esperado.;Se pueden almacenar registros incompletos o con datos sin sentido (nombre vacio, edad en letras) y el sistema igual informa exito.;Alta;Aplicar .strip() y rechazar la operacion cuando el campo quede vacio, mostrando un mensaje al usuario.
A09;Integridad de los datos;35;estudiantes.remove(estudiante);Se elimina un elemento de la lista mientras se recorre esa misma lista con un for.;El recorrido puede saltarse elementos y no se garantiza que se afecte unicamente el registro esperado.;Alta;Recorrer una copia de la lista, o construir una lista nueva sin el registro, y pedir confirmacion antes de borrar.
A10;Integridad de los datos;37;"mensaje.config(text=""Proceso terminado"")";Mensaje de resultado fijo que se muestra sin importar si realmente se elimino algun registro.;El usuario no distingue entre 'se elimino' y 'no se encontro', y puede creer que una operacion fallida fue exitosa.;Media;Contar las coincidencias y mostrar un mensaje diferente para cada caso.
